Open_Time,Ticket,Strategy,Type,Lots,Entry,SL,TP,Exit_Time,Exit_Price,PnL,Result,Exit_Reason
26/03/2026 18:05,7929912810,HFT Scalper (M1/M5),SHORT,0.01,4391.31,4390.24,4351.49,26/03/2026 19:40,0,2.1,PROFIT ✅,External Close (MT5)
27/03/2026 07:25,7939822848,MACD Zero-Line Cross,SHORT,0.01,4462.19,4445.81,4408,27/03/2026 09:35,0,27.59,PROFIT ✅,External Close (MT5)
27/03/2026 10:15,7942388679,HFT Scalper (M1/M5),SHORT,0.01,4429.7,4424.85,4410.12,27/03/2026 11:50,0,1  4.53,PROFIT ✅,External Close (MT5)
N/A,SIM,Unknown,LONG,1.00,2000.00,1980.00,2050.00,2026-04-10 12:56:23,1980.00,-2000.00,LOSS ❌,Stop Loss (Sim)
N/A,SIM,Unknown,SHORT,1.00,2000.00,2050.00,1980.00,2026-04-10 12:56:23,1980.00,2000.00,PROFIT ✅,Take Profit (Sim)
2026-04-10 15:45:04,8147496013,Recovered Trade,LONG,0.02,4767.03,4751.27,4799.03,2026-04-10 15:23:35,0.00,0.00,PROFIT ✅,External Close (MT5)
2026-04-10 17:00:04,8149260778,Recovered Trade,LONG,0.01,4770.26,4785.00,4797.88,2026-04-10 15:42:57,0.00,0.00,PROFIT ✅,External Close (MT5)
2026-04-10 18:24:07,8151284890,Recovered Trade,LONG,0.01,4788.17,4763.67,4836.91,2026-04-10 16:36:32,0.00,0.00,LOSS ❌,External Close (MT5)
2026-04-13 12:40:26,8168606581,HFT Scalper (M1/M5),SHORT,0.02,4712.28,4710.92,4690.20,2026-04-13 12:48:57,0.00,0.00,PROFIT ✅,External Close (MT5)
2026-04-13 15:45:42,8168769250,Recovered Trade,SHORT,0.02,4708.38,4722.74,4677.72,2026-04-13 13:24:47,0.00,0.00,PROFIT ✅,External Close (MT5)
2026-04-13 15:05:16,8172493928,MACD Zero-Line Cross,SHORT,0.01,4724.20,4721.72,4676.41,2026-04-13 15:44:48,0.00,0.00,PROFIT ✅,External Close (MT5)
2026-04-20 12:00:48,8270827397,MACD Zero-Line Cross,SHORT,0.03,4795.81,4792.27,4778.42,2026-04-20 12:41:29,0.00,0.00,PROFIT ✅,External Close (MT5)
2026-04-20 13:50:22,8273511511,MACD Zero-Line Cross,SHORT,0.04,4806.29,4805.74,4779.97,2026-04-20 14:05:45,0.00,0.00,PROFIT ✅,External Close (MT5)
2026-04-21 12:49:00,8289981507,Recovered Trade,SHORT,0.03,4790.63,4790.15,4769.89,2026-04-21 14:20:38,0.00,0.00,PROFIT ✅,External Close (MT5)
2026-04-21 10:16:36,8290422562,MACD Zero-Line Cross,SHORT,0.07,4784.27,4795.93,4760.96,2026-04-21 14:21:00,0.00,0.00,LOSS ❌,External Close (MT5)
2026-04-21 10:16:36,8290422562,MACD Zero-Line Cross,SHORT,0.07,4784.27,4795.93,4760.96,2026-04-21 14:21:19,0.00,0.00,LOSS ❌,External Close (MT5)
2026-04-21 15:00:28,8296783187,EMA Trend Pullback,SHORT,0.02,4779.22,4739.99,4730.83,2026-04-21 15:46:59,0.00,0.00,PROFIT ✅,External Close (MT5)
2026-04-22 12:25:14,8312980366,Recovered Trade,SHORT,0.02,4754.67,4753.40,4728.74,2026-04-22 12:49:14,0.00,0.00,PROFIT ✅,External Close (MT5)
2026-04-22 14:05:56,8314777126,Recovered Trade,SHORT,0.04,4750.26,4744.78,4711.58,2026-04-22 14:09:32,0.00,0.00,PROFIT ✅,External Close (MT5)
2026-04-22 15:35:16,8320346928,Volatility Breakout,SHORT,0.02,4736.18,4735.29,4692.78,2026-04-22 21:12:55,0.00,0.00,BREAK-EVEN ⚖️,External Close (MT5)
2026-04-23 23:07:51,544387473,Recovered Trade,LONG,0.01,4699.49,4676.00,0.00,2026-04-23 20:26:40,0.00,0.00,BREAK-EVEN ⚖️,External Close (MT5)
